net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,1,96.46,0.13288064257303875,95.64,0.15995216064453124,12.62,3.9754543701171876,8.83,4.0525958984375,8.03,4.2746955078125,10.22,4.249917309570312,10.64,3.7993395263671874
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,2,96.75,0.11595905667146048,95.47,0.1558862693786621,12.08,4.7953908203125,8.92,5.103229345703125,7.51,4.537105810546875,15.6,4.042284790039062,15.99,3.723810986328125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,3,98.17,0.0652704709748427,96.86,0.1042059154510498,9.91,5.450989013671875,9.07,5.0520921875,10.42,4.819251416015625,11.61,5.291956982421875,7.67,5.17443974609375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,4,98.89,0.04074270800749461,97.56,0.08234722499847412,9.81,5.070558203125,10.66,5.387718505859375,8.18,5.169083154296875,8.42,5.646203857421875,11.89,4.959669677734375
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,5,99.07,0.03309350623587767,97.85,0.07506348628997803,12.3,4.749882470703125,8.31,5.339338818359375,7.95,5.1737224609375,13.02,5.639717578125,11.65,5.4065205078125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,6,99.27,0.026853331250945727,97.75,0.07861880226135254,9.46,6.374693408203125,12.11,5.9476001953125,10.57,6.3687279296875,9.77,6.94326474609375,13.06,5.105983154296875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,7,99.45,0.021395867142577966,97.7,0.07722791748046876,16.44,5.214719580078125,9.04,5.923231103515625,10.97,5.49201884765625,14.59,7.16726650390625,13.2,5.924317529296875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,8,99.38,0.020676589604467152,97.73,0.07217798728942872,13.82,6.404277001953125,9.19,6.228732470703125,11.51,6.464712158203125,10.25,7.5560060546875,10.37,6.4614140625
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,9,99.78,0.00933665474280715,98.11,0.06381689205169677,13.14,7.135985595703125,9.84,6.7597416015625,11.71,6.9900921875,6.61,8.450989404296875,10.1,9.066651953125
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,1,pMNIST1,10,99.59,0.014622592273230354,97.69,0.08274986553192139,13.4,6.884387109375,8.76,6.323927392578125,10.19,6.7006255859375,10.16,8.8476224609375,11.77,7.487975732421875
bnn,task,2048-2048,bn,0.005,"{'l1': 1.35, 'l2': 1.35, 'l3': 1.35}",0.0,0.0,2,pMNIST2,1,97.86,0.07242029941082001,85.9,0.41780093841552735,96.68,0.10958050155639648,8.61,5.589461572265625,9.41,5.88053857421875,14.3,5.243775927734375,16.19,4.913478955078125
