meta,hid_num,epochs,worker,time_started,time_completed,duration_seconds,path
0.0,512,20,1,2021-11-21 08:14:42,2021-11-21 09:12:59,3497.0,./results/0.0_512_20
0.5,2048,20,1,2021-11-21 09:12:59,2021-11-21 10:11:25,3506.0,./results/0.5_2048_20
1.35,512,20,1,2021-11-21 10:11:25,2021-11-21 11:09:59,3514.0,./results/1.35_512_20
0.0,2048,40,1,2021-11-21 11:09:59,2021-11-21 13:08:14,7095.0,./results/0.0_2048_40
1.0,512,40,1,2021-11-21 13:08:14,2021-11-21 15:04:33,6979.0,./results/1.0_512_40
1.35,2048,40,1,2021-11-21 15:04:33,2021-11-21 17:00:48,6975.0,./results/1.35_2048_40
2.0,512,40,1,2021-11-21 17:00:48,2021-11-21 18:58:04,7036.0,./results/2.0_512_40
0.0,2048,10,1,2021-11-21 18:58:04,2021-11-21 19:27:56,1792.0,./results/0.0_2048_10
0.7,512,10,1,2021-11-21 19:27:56,2021-11-21 19:57:46,1790.0,./results/0.7_512_10
1.0,2048,10,1,2021-11-21 19:57:46,2021-11-21 20:27:56,1810.0,./results/1.0_2048_10
1.5,512,10,1,2021-11-21 20:27:56,2021-11-21 20:58:02,1806.0,./results/1.5_512_10
2.0,2048,10,1,2021-11-21 20:58:02,2021-11-21 21:28:17,1815.0,./results/2.0_2048_10
0.7,512,20,1,2021-11-21 21:28:17,2021-11-21 22:28:11,3594.0,./results/0.7_512_20
1.5,2048,20,1,2021-11-21 22:28:11,2021-11-21 23:27:52,3581.0,./results/1.5_2048_20
0.7,512,40,1,2021-11-21 23:27:52,2021-11-22 01:27:18,7166.0,./results/0.7_512_40
1.5,2048,40,1,2021-11-22 01:27:18,2021-11-22 03:28:16,7258.0,./results/1.5_2048_40
0.0,512,60,1,2021-11-22 03:28:16,2021-11-22 06:30:51,10955.0,./results/0.0_512_60
0.5,2048,60,1,2021-11-22 06:30:51,2021-11-22 09:32:51,10920.0,./results/0.5_2048_60
1.0,512,60,1,2021-11-22 09:32:51,2021-11-22 12:33:33,10842.0,./results/1.0_512_60
1.35,2048,60,1,2021-11-22 12:33:33,2021-11-22 15:34:35,10862.0,./results/1.35_2048_60
2.0,512,60,1,2021-11-22 15:34:35,2021-11-22 18:30:42,10567.0,./results/2.0_512_60
0.0,1024,20,2,2021-11-21 08:15:07,2021-11-21 09:13:28,3501.0,./results/0.0_1024_20
0.5,4096,20,2,2021-11-21 09:13:28,2021-11-21 10:11:50,3502.0,./results/0.5_4096_20
1.35,1024,20,2,2021-11-21 10:11:50,2021-11-21 11:09:43,3473.0,./results/1.35_1024_20
0.0,4096,40,2,2021-11-21 11:09:43,2021-11-21 13:09:24,7181.0,./results/0.0_4096_40
1.0,1024,40,2,2021-11-21 13:09:24,2021-11-21 15:05:57,6993.0,./results/1.0_1024_40
1.35,4096,40,2,2021-11-21 15:05:57,2021-11-21 17:04:55,7138.0,./results/1.35_4096_40
2.0,1024,40,2,2021-11-21 17:04:55,2021-11-21 19:03:01,7086.0,./results/2.0_1024_40
0.0,4096,10,2,2021-11-21 19:03:01,2021-11-21 19:32:19,1758.0,./results/0.0_4096_10
0.7,1024,10,2,2021-11-21 19:32:19,2021-11-21 20:01:39,1760.0,./results/0.7_1024_10
1.0,4096,10,2,2021-11-21 20:01:39,2021-11-21 20:31:07,1768.0,./results/1.0_4096_10
1.5,1024,10,2,2021-11-21 20:31:07,2021-11-21 21:01:08,1801.0,./results/1.5_1024_10
2.0,4096,10,2,2021-11-21 21:01:08,2021-11-21 21:30:19,1751.0,./results/2.0_4096_10
