net,scenario,arch,norm,lr,meta,ewc,SI,task_order,tsk,epoch,acc_tr,loss_tr,acc_test_tsk_1,loss_test_tsk_1,acc_test_tsk_2,loss_test_tsk_2,acc_test_tsk_3,loss_test_tsk_3,acc_test_tsk_4,loss_test_tsk_4,acc_test_tsk_5,loss_test_tsk_5,acc_test_tsk_6,loss_test_tsk_6
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,1,95.91,0.15303425313631694,95.1,0.16930826721191405,12.24,4.090784301757813,8.13,3.9678975341796874,8.57,4.2040703125,9.05,4.271523828125,7.59,4.093085668945313
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,2,96.91,0.10612598426938057,95.91,0.1392588928222656,7.01,5.21644951171875,11.86,4.45953232421875,10.7,5.419196728515625,7.65,5.164835888671875,13.42,4.336337451171875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,3,97.89,0.07577730140487353,96.69,0.113698095703125,10.21,4.960847509765625,12.28,4.804776220703125,12.52,5.32997841796875,8.79,5.002193017578125,13.12,4.88185087890625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,4,98.38,0.05600857999920845,96.78,0.10220631713867187,8.56,5.05911728515625,10.49,5.276543359375,13.28,5.451461962890625,8.87,5.43403720703125,10.18,5.500137451171875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,5,98.81,0.04146513629605373,97.43,0.08423339729309082,10.29,6.262959619140625,13.23,5.254536962890625,9.93,6.731507568359375,7.94,5.48252314453125,12.3,5.992291845703125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,6,98.69,0.043719713454445204,97.15,0.094964697265625,12.03,5.79336484375,8.55,5.535195703125,12.91,5.671354345703125,7.95,6.186165966796875,11.88,6.16095732421875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,7,99.25,0.027388631958017745,97.64,0.08013299007415771,8.45,5.703520947265625,7.9,5.92093427734375,12.78,5.79325732421875,7.3,6.300022607421875,11.14,5.64497509765625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,8,99.24,0.027154914776980878,97.58,0.08494313812255859,11.32,5.4524455078125,6.95,6.1233248046875,12.66,5.58397294921875,6.43,6.197168017578125,13.21,5.342282177734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,9,99.39,0.020874154849598803,97.67,0.0820499267578125,8.02,5.4812494140625,9.84,5.73274853515625,12.01,6.0320287109375,8.46,5.908830517578125,9.88,5.95934775390625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,10,99.45,0.0195582981603841,97.52,0.08070945644378662,6.97,6.815995068359375,11.94,6.147233447265625,12.53,6.20491650390625,10.1,6.08333642578125,11.8,5.644999560546875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,11,99.52,0.017133649966493247,97.54,0.08238575725555419,9.06,6.332262255859375,12.04,6.11674326171875,11.81,6.4958068359375,9.87,6.37891376953125,11.78,6.037568603515625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,12,99.47,0.018334710270538925,97.47,0.08609624252319335,7.84,7.147219482421875,10.94,7.157651123046875,11.18,7.413604443359375,7.76,7.875448291015625,10.25,6.999561865234375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,13,99.64,0.013782114872460564,97.65,0.07852547702789307,6.75,7.173167431640625,11.24,6.22337373046875,10.75,6.119000732421875,7.21,7.715006298828125,14.98,5.768769140625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,14,99.7,0.010930036126822234,97.93,0.07436144752502441,7.65,6.672656103515625,13.36,6.082479736328125,11.26,6.232026220703125,5.81,7.040924755859375,11.35,6.0496755859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,15,99.64,0.01265281659339865,97.93,0.07400806159973145,6.67,6.994046142578125,9.47,6.915110595703125,12.67,6.925862255859375,7.49,7.45158251953125,11.39,6.577070556640625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,16,99.67,0.012204670228933295,97.68,0.0822262191772461,8.72,7.965044921875,10.9,6.47389423828125,10.34,7.129438037109375,7.65,7.8372935546875,12.69,6.46764755859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,17,99.66,0.010924124778000017,97.83,0.07809106826782226,12.47,7.73381376953125,17.2,6.033361767578125,10.71,6.964573681640625,6.27,7.2118830078125,11.79,6.554832080078125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,18,99.74,0.009041114398899177,97.8,0.08213148593902588,8.91,7.757051513671875,11.45,7.03537060546875,10.07,7.50004599609375,5.33,8.052924267578126,11.53,7.102173193359375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,19,99.75,0.008917191488916676,97.81,0.07878976726531982,9.58,7.628125439453125,10.78,6.806534521484375,9.6,6.705781982421875,9.36,6.887904736328125,12.73,6.26891923828125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,20,99.77,0.008509195519176622,97.74,0.08275432014465332,10.34,8.5681583984375,11.0,7.494427197265625,9.63,7.643455419921875,7.91,7.975211767578125,11.48,8.229294189453125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,21,99.65,0.01102260119765997,97.76,0.08349685020446777,11.05,7.8718291015625,10.51,7.495183056640625,13.55,7.4064259765625,7.05,8.006864794921874,12.96,6.718650439453125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,22,99.77,0.008372879192295174,97.62,0.0886877405166626,10.56,8.031981787109375,9.4,7.96459130859375,9.34,8.58745419921875,8.52,8.4341494140625,10.04,7.767848388671875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,23,99.77,0.0077876039653395615,97.68,0.08530273866653443,9.32,8.268285400390624,12.33,6.842901123046875,13.18,6.973342041015625,9.1,7.574147900390625,13.0,7.294710205078125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,24,99.86,0.005506607697019354,97.8,0.08208258972167969,10.91,8.0812609375,13.83,6.556179736328125,11.81,6.914638916015625,10.87,6.57898037109375,14.04,7.6391154296875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,25,99.8,0.0067931796022690834,97.82,0.08231894435882568,11.7,8.9416904296875,9.33,7.5703544921875,10.93,7.889729736328125,7.8,7.843561669921875,13.77,7.5347654296875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,26,99.84,0.005628707392544796,97.89,0.07977693614959717,10.27,8.88098447265625,12.82,7.55514404296875,11.39,7.751476025390625,7.95,7.82159853515625,13.42,7.06880087890625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,27,99.88,0.004710055551724508,98.0,0.0796481873512268,8.29,9.0402162109375,14.56,7.353907275390625,11.43,7.73614033203125,6.2,8.84338818359375,13.08,7.6735443359375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,28,99.83,0.005960189007781446,97.84,0.08915603923797608,7.44,9.193326953125,8.72,8.0427384765625,11.39,8.222335302734376,10.64,7.678661083984375,12.8,7.333513623046875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,29,99.81,0.006049544560567786,97.71,0.08946028890609742,8.4,7.990699462890625,11.16,7.421853857421875,12.51,7.449649169921875,8.26,7.857242041015625,11.32,8.046122509765626
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,30,99.88,0.004207221963411818,97.8,0.0891503631591797,8.55,9.30318466796875,12.2,8.65057548828125,15.1,7.370217529296875,6.67,10.323045703125,13.34,7.825318505859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,31,99.81,0.0061177769786988695,97.9,0.08841569995880127,9.63,7.6468287109375,12.85,6.975169775390625,16.51,7.476206787109375,6.24,9.20946005859375,11.56,8.00552158203125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,32,99.92,0.0028929564566506694,98.05,0.07662326545715333,9.78,8.54164794921875,11.54,7.563116650390625,14.02,7.7446546875,7.55,8.7768794921875,11.86,8.358072998046875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,33,99.94,0.002849111647127817,97.97,0.08698133468627929,9.62,8.524725390625,9.51,8.172060009765625,16.18,7.964426318359375,5.84,8.9416888671875,11.25,9.4174486328125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,34,99.91,0.0033142232509329917,97.99,0.09196128273010254,9.52,9.41761904296875,12.76,8.09973076171875,9.19,8.57526044921875,7.84,10.4600677734375,12.26,9.118777734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,35,99.91,0.003106019685099212,97.88,0.08854732151031494,7.31,9.7211759765625,12.58,8.59182314453125,7.07,8.82438349609375,7.87,10.7532041015625,11.38,9.47474052734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,36,99.92,0.00334120921191449,97.83,0.09083782868385315,9.23,9.39158603515625,14.71,8.406331103515624,10.89,8.2569181640625,8.46,10.635238671875,17.11,8.392510205078125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,37,99.97,0.0018668132124313463,97.99,0.08336074237823486,11.06,9.82732919921875,13.3,9.973332421875,10.52,7.892319775390625,9.71,10.09919755859375,12.27,8.499450927734374
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,38,99.91,0.00346077634653387,97.92,0.0815153757095337,10.97,8.60953837890625,16.59,8.178611328125,9.63,9.4221978515625,8.52,9.90841435546875,10.57,8.96831767578125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,39,99.93,0.0029549294255441054,97.97,0.07820868072509765,8.55,8.76869921875,13.08,9.340955859375,11.05,7.91309267578125,7.12,10.21243994140625,12.96,8.0025447265625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,40,99.92,0.0030610892267742503,98.0,0.08354691376686096,8.88,9.12854482421875,10.61,9.62914765625,10.86,7.89622587890625,8.2,9.6896984375,11.73,8.259746484375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,41,99.94,0.0024390025153329287,98.05,0.07523085670471191,11.67,8.422242041015625,13.25,8.2591287109375,13.61,8.6161955078125,8.23,10.4580865234375,11.82,8.67055908203125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,42,99.9,0.0034699090597918258,97.88,0.09051662960052491,8.49,8.85823037109375,12.61,8.41577783203125,14.28,7.957590234375,9.36,10.04062958984375,13.36,8.49918427734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,43,99.94,0.0021978850192545603,98.05,0.07764422445297241,8.45,8.2396462890625,9.82,7.873711669921875,9.68,8.69934091796875,10.37,8.52234267578125,12.93,8.65928037109375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,44,99.93,0.002475566382543184,97.9,0.08979091720581055,8.8,9.1758626953125,17.17,7.602577880859375,11.94,7.33156220703125,6.68,8.59886982421875,10.93,8.3268130859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,45,99.93,0.002584970018539267,98.2,0.0800094110250473,9.78,10.0943984375,12.98,8.8630140625,10.96,8.8894015625,9.84,9.17523349609375,15.62,9.4330177734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,46,99.94,0.0024506029253010637,98.07,0.0864553071975708,10.69,10.79842802734375,14.11,9.4894552734375,11.64,9.57404404296875,10.31,10.90565986328125,16.41,9.51761953125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,47,99.94,0.0019874825725137877,98.1,0.08293615455627441,9.4,10.151755859375,10.72,8.327352392578126,9.94,8.221353857421875,5.87,10.0972212890625,14.73,9.16027060546875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,48,99.95,0.001647325319016818,98.05,0.07994076976776122,9.41,9.90452431640625,11.0,8.9568876953125,12.59,8.622145654296874,9.06,8.99864482421875,11.81,8.299158642578124
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,49,99.96,0.0017168989527078034,98.15,0.07718746089935302,10.94,9.709576953125,8.76,9.1440240234375,9.52,8.36994404296875,7.1,9.2227388671875,14.18,9.26569970703125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,50,99.96,0.001541028921903732,98.08,0.08357412452697754,9.72,10.10801748046875,11.48,8.901270703125,9.0,8.47638544921875,9.23,10.46240625,16.45,8.858516796875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,51,99.96,0.0014822899399364058,97.98,0.0909813247680664,10.34,10.43407548828125,11.38,10.76310654296875,8.26,9.0730099609375,5.95,10.522682421875,13.05,8.81802060546875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,52,99.96,0.0014133640235755593,98.08,0.08269296751022338,6.67,9.19855830078125,10.88,10.50121650390625,9.84,8.6507298828125,8.53,9.60632666015625,14.69,6.74712119140625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,53,99.96,0.0018312990669510328,98.06,0.09312452974319459,5.92,9.12925244140625,13.13,8.8790947265625,10.99,9.09496123046875,8.48,9.96452353515625,10.45,8.485384814453125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,54,99.96,0.0017684975394086603,98.03,0.08613085889816284,8.96,9.3862267578125,10.22,9.05191103515625,9.55,9.86796025390625,7.01,10.9939314453125,12.61,8.3018380859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,55,99.97,0.0012728169032954612,98.06,0.08971048421859741,8.42,10.26726845703125,9.62,11.18715673828125,8.23,9.36334228515625,7.89,10.3923421875,7.44,9.4626421875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,56,99.98,0.001188227857457241,98.12,0.09011338901519775,7.67,9.84717646484375,12.6,8.38586494140625,10.28,8.163573828125,9.24,9.45528564453125,10.94,7.8533830078125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,57,99.97,0.0010971968771191314,97.9,0.09195899477005005,8.57,9.41720771484375,16.09,8.711913671875,9.63,9.1609474609375,8.2,9.99009384765625,9.84,9.221113671875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,58,99.97,0.0012350851587815364,97.9,0.09309598655700684,8.59,10.9178544921875,13.73,10.07826591796875,9.82,9.2817146484375,8.31,10.0817958984375,7.93,9.62652451171875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,59,99.97,0.0010722509782062843,97.9,0.09801477518081665,7.77,10.2077037109375,11.72,9.5767513671875,8.66,9.786678125,6.73,10.70810810546875,8.55,9.09890302734375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,1,pMNIST1,60,99.97,0.0010198537181228555,97.96,0.09346743230819703,12.05,10.88304404296875,10.52,9.16377822265625,9.36,9.86164990234375,9.44,10.02262919921875,14.22,9.5544380859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,1,95.18,0.1617501617272695,97.64,0.0930192310333252,93.9,0.2037716293334961,7.82,7.31604345703125,13.01,6.231859326171875,10.2,6.81498173828125,9.75,7.611909033203125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,2,96.91,0.1017176549812158,97.57,0.09510121059417724,95.43,0.15462685012817382,9.11,6.844360205078125,13.53,6.04111015625,10.36,7.024042529296875,8.68,6.609973828125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,3,97.52,0.0785820678114891,97.54,0.10142196426391602,95.86,0.1435118881225586,9.47,7.253972705078125,12.99,6.24001650390625,10.26,7.474661279296875,8.62,6.545586083984375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,4,97.5,0.07541119296252728,97.35,0.0981231876373291,95.49,0.1443956428527832,9.24,7.165441845703125,13.22,5.77157666015625,12.98,7.0586814453125,9.92,6.487720751953125
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,5,98.32,0.05268913552562396,97.49,0.10278550453186035,96.17,0.1211695629119873,7.66,7.309252685546875,14.17,5.9702052734375,11.97,7.156480517578125,9.07,6.644242724609375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,6,98.41,0.049517279130220415,97.13,0.11912708587646484,96.15,0.13137713737487794,7.16,7.333938671875,12.57,5.908702294921875,10.68,7.071379736328125,12.85,6.481412451171875
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,7,98.43,0.04703428251792987,97.48,0.09731513824462891,96.35,0.1275856876373291,8.32,7.13534140625,12.91,5.789718505859375,13.1,7.04496328125,8.94,6.93406640625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,8,98.88,0.03591089350382487,97.51,0.10349844398498535,96.62,0.11433074989318848,7.27,7.5355712890625,11.18,6.14464580078125,12.21,6.9587392578125,7.48,6.70253984375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,9,98.91,0.033058989422023295,97.17,0.10837282791137695,96.77,0.11378693313598633,9.37,7.762873828125,11.14,6.762420263671875,11.96,7.146447509765625,8.4,7.1680974609375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,10,98.75,0.036497331792364515,97.08,0.11547456359863281,96.52,0.11378451614379882,8.5,8.044869775390625,12.38,6.571691259765625,10.45,7.491868359375,9.53,7.31903115234375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,11,99.05,0.029423881198465823,96.8,0.12673010368347168,96.79,0.11032162914276122,9.26,7.85010205078125,11.27,6.92812802734375,9.08,7.5363095703125,11.89,6.94482353515625
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,12,99.11,0.026921039474010467,96.98,0.11876289176940918,96.73,0.11376682262420654,9.5,8.07841806640625,12.68,7.49211513671875,9.17,7.442538720703125,10.49,7.8790130859375
bnn,task,512-512,bn,0.005,"{'l1': 0.7, 'l2': 0.7, 'l3': 0.7}",0.0,0.0,2,pMNIST2,13,99.17,0.02518061378399531,96.68,0.13136786041259765,96.84,0.1151229871749878,8.84,9.227147265625,13.1,7.382030712890625,6.5,7.382344873046875,11.46,6.747870263671875
